GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
11001001600,140,11,001,47900,548,,,Census Tract 16,3957,1685,4030,1691,3957,4030
11001001702,140,11,001,47900,548,,,Census Tract 17.02,2644,1312,2240,1047,2644,2240
11001001803,140,11,001,47900,548,,,Census Tract 18.03,3514,1612,3066,1572,3514,3066
11001006500,140,11,001,47900,548,,,Census Tract 65,2531,1543,2422,1611,2531,2422
11001006600,140,11,001,47900,548,,,Census Tract 66,1909,1143,1837,1179,1909,1837
11001006700,140,11,001,47900,548,,,Census Tract 67,3775,2008,3543,1970,3775,3543
11001006801,140,11,001,47900,548,,,Census Tract 68.01,1949,977,1997,1051,1949,1997
11001006802,140,11,001,47900,548,,,Census Tract 68.02,2084,1004,2066,951,2084,2066
11001009201,140,11,001,47900,548,,,Census Tract 92.01,1976,619,1381,607,1976,1381
11001009501,140,11,001,47900,548,,,Census Tract 95.01,5797,1954,5264,1977,5797,5264
11001009503,140,11,001,47900,548,,,Census Tract 95.03,2910,1256,3066,1242,2910,3066
11001009504,140,11,001,47900,548,,,Census Tract 95.04,3025,1354,3353,1386,3025,3353
11001009505,140,11,001,47900,548,,,Census Tract 95.05,2630,1217,2671,1205,2630,2671
11001001401,140,11,001,47900,548,,,Census Tract 14.01,3078,1478,3150,1490,3078,3150
11001001402,140,11,001,47900,548,,,Census Tract 14.02,2998,1612,3925,1296,2998,3925
11001009400,140,11,001,47900,548,,,Census Tract 94,4163,1792,4166,1778,4163,4166
